[Volt (V)],[Current (mA)]
-1.200000047684,-1.421098480932
-1.179999947548,-1.413272460923
-1.159999966621,-1.407855306752
-1.139999985695,-1.404885901138
-1.120000004768,-1.402560388669
-1.100000023842,-1.39569840394
-1.080000042915,-1.387238502502
-1.05999994278,-1.382826478221
-1.039999961853,-1.382672111504
-1.019999980927,-1.380340429023
-1,-1.374464016408
-0.980000019073,-1.369895646349
-0.959999978542,-1.364073716104
-0.939999997616,-1.360688009299
-0.920000016689,-1.360408845358
-0.899999976158,-1.358464360237
-0.879999995232,-1.356114051305
-0.860000014305,-1.351131475531
-0.839999973774,-1.346527948044
-0.819999992847,-1.344678574242
-0.800000011921,-1.343528623693
-0.77999997139,-1.337624853477
-0.759999990463,-1.335910754278
-0.740000009537,-1.339056878351
-0.72000002861,-1.333606312983
-0.699999988079,-1.324200653471
-0.680000007153,-1.323854201473
-0.660000026226,-1.316342852078
-0.639999985695,-1.311693456955
-0.620000004768,-1.308440580033
-0.600000023842,-1.313601853326
-0.579999983311,-1.309654093347
-0.560000002384,-1.303360331804
-0.540000021458,-1.301796641201
-0.519999980927,-1.297484268434
-0.5,-1.293494016863
-0.479999989271,-1.290988759138
-0.460000008345,-1.290710060857
-0.439999997616,-1.291195163503
-0.419999986887,-1.286339247599
-0.40000000596,-1.282986486331
-0.379999995232,-1.277618692257
-0.360000014305,-1.274660578929
-0.340000003576,-1.270708045922
-0.319999992847,-1.26723840367
-0.300000011921,-1.263978192583
-0.280000001192,-1.26163137611
-0.259999990463,-1.256931223907
-0.239999994636,-1.253623981029
-0.219999998808,-1.250836881809
-0.20000000298,-1.246563973837
-0.180000007153,-1.244565704837
-0.159999996424,-1.239673350938
-0.140000000596,-1.235435134731
-0.119999997318,-1.232426613569
-0.10000000149,-1.226647756994
-0.079999998212,-1.230716705322
-0.059999998659,-1.224222010933
-0.039999999106,-1.214271294884
-0.019999999553,-1.208615023643
-0,-1.20737159159
0.019999999553,-1.203493680805
0.039999999106,-1.1970133055
0.059999998659,-1.188976457343
0.079999998212,-1.183256157674
0.10000000149,-1.177107798867
0.119999997318,-1.17283326108
0.140000000596,-1.168131595477
0.159999996424,-1.162475906312
0.180000007153,-1.154892961495
0.20000000298,-1.144401496276
0.219999998808,-1.137861865573
0.239999994636,-1.130560762249
0.259999990463,-1.12096813973
0.280000001192,-1.114160055295
0.300000011921,-1.101831439883
0.319999992847,-1.086029806174
0.340000003576,-1.072024460882
0.360000014305,-1.054234337062
0.379999995232,-1.033077132888
0.40000000596,-1.008655293845
0.419999986887,-0.980271492153
0.439999997616,-0.944402883761
0.460000008345,-0.897760968655
0.479999989271,-0.841313507408
0.5,-0.773503561504
0.519999980927,-0.68605330307
0.540000021458,-0.578073144425
0.560000002384,-0.4453304864
0.579999983311,-0.28067533276
0.600000023842,-0.078664066677
0.620000004768,0.161022413522
0.639999985695,0.449618761195
0.660000026226,0.78918330837
0.680000007153,1.184941967949
0.699999988079,1.641013659537
0.72000002861,2.159472089261
0.740000009537,2.742431592196
0.759999990463,3.390104277059
0.77999997139,4.105553496629
0.800000011921,4.885289352387
0.819999992847,5.724546033889
0.839999973774,6.625862326473
0.860000014305,7.583140395582
0.879999995232,8.599582128227
0.899999976158,9.672647342086
0.920000016689,10.812264867127
0.939999997616,11.981897987425
0.959999978542,13.199009001255
0.980000019073,14.463177882135
1,15.771251171827
1.019999980927,17.113735899329
1.039999961853,18.496215343475
1.05999994278,19.905894994736
1.080000042915,21.350178867579
1.100000023842,22.826610133052
1.120000004768,24.327600374818
1.139999985695,25.856049731374
1.159999966621,27.404578402638
1.179999947548,28.983173891902
1.200000047684,30.582632869482
